class;description
OrdinarieH;Le meteoriti ordinarie sono quelle più comuni e più antiche. Sono composte da un’amalgama di oggetti chiamati condruli. La lettera H indica una percentuale elevata di ferro, pari a circa il 20% della massa.
OrdinarieL;Le meteoriti ordinarie sono quelle più comuni e più antiche. Sono composte da un’amalgama di oggetti chiamati condruli. La lettera L indica una percentuale bassa di ferro, pari a circa il 10% della massa.
OrdinarieLL;Le meteoriti ordinarie sono quelle più comuni e più antiche. Sono composte da un’amalgama di oggetti chiamati condruli. Le lettere LL indicano una percentuale molto bassa di ferro, pari a circa il 5% della massa.
Carboniose;Contengono acqua e tracce di materiale organico, inclusi a volte amminoacidi. Le carbonacee costituiscono circa il 5% delle meteoriti conosciute.
Entasiti;Sono meteoriti molto rare dove la matrice è costituita da cristalli di enstatite. Hanno il più alto contenuto di ferro libero.
AltreCondriti;Sono meteoriti estremamente rare. Sono caratterizzate da un basso contenuto di metallo libero.
Lunar;Sono meteoriti molto rare, formate dalla fusione di roccia frammentata durante l’impatto con l’atmosfera terrestre. Sono molto importanti perché danno informazioni sulle zone lunari inesplorate.
Martian;Sono meteoriti formatesi in seguito all’impatto di Marte con asteroidi o comete. Si pensa provengano da Marte perché hanno una composizione isotopica simile a quella delle rocce del pianeta.
AcondritiVarie;Questi sottogruppi di meteoriti, pur essendo diverse nella composizione del minerale, come ad esempio l’abbondanza di calcio basaltico, hanno diverse caratteristiche che le accomuna come la composizione isotopica.
Sideroliti;È una classe di meteoriti che si pensa provengano da un settore di un meteoroide che si trova tra il nucleo e la superficie. Si caratterizzano per la quasi identica quantità di metallo libero e di roccia. 
Sideriti;Sono una classe di meteoriti differenziate che proviene dal nucleo di un meteoroide distrutto dalla collisione con un altro corpo cosmico. Rispetto alle altre meteoriti contengono una maggiore quantità di nichel.
Stone-uncl;Queste meteoriti non sono state classificate.
